Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache;Validity
Sursee;6210;0;Schenkon;1099;LU;8.124045114;47.17520494;de;01.07.2008
Schenkon;6214;0;Schenkon;1099;LU;8.132169718;47.18389787;de;01.07.2008
Gunzwil;6222;0;Schenkon;1099;LU;8.154514369;47.17342973;de;01.07.2008
Schlierbach;6231;0;Schlierbach;1100;LU;8.118653538;47.22925672;de;01.07.2008
Hildisrieden;6024;0;Sempach;1102;LU;8.206582642;47.15818882;de;01.07.2008
Sempach;6204;0;Sempach;1102;LU;8.206339506;47.13617287;de;01.07.2008
Sursee;6210;0;Sursee;1103;LU;8.104432321;47.17732623;de;01.07.2008
Knutwil;6213;0;Triengen;1104;LU;8.071617827;47.21393579;de;01.07.2008
Triengen;6234;0;Triengen;1104;LU;8.082629012;47.23654825;de;01.07.2008
Kulmerau;6234;1;Triengen;1104;LU;8.089460698;47.25343523;de;01.07.2008
Winikon;6235;0;Triengen;1104;LU;8.04252727;47.23088244;de;01.07.2008
Wilihof;6236;0;Triengen;1104;LU;8.061029317;47.22061301;de;01.07.2008
Wolhusen;6110;0;Wolhusen;1107;LU;8.081725936;47.05543046;de;01.07.2008
Steinhuserberg;6114;0;Wolhusen;1107;LU;8.041206112;47.04535433;de;01.07.2008
Menznau;6122;0;Wolhusen;1107;LU;8.040636583;47.05567987;de;01.07.2008
Alberswil;6248;0;Alberswil;1121;LU;7.993386971;47.14784729;de;01.07.2008
Altbüron;6147;0;Altbüron;1122;LU;7.894079118;47.19079085;de;01.07.2008
Zell LU;6144;0;Altishofen;1123;LU;7.929495388;47.16210619;de;01.07.2008
Nebikon;6244;0;Altishofen;1123;LU;7.964427858;47.18321977;de;01.07.2008
Ebersecken;6245;0;Altishofen;1123;LU;7.93933589;47.18063891;de;01.07.2008
Altishofen;6246;0;Altishofen;1123;LU;7.959117353;47.20347447;de;01.07.2008
Schötz;6247;0;Altishofen;1123;LU;7.960933345;47.16903096;de;01.07.2008
Richenthal;6263;0;Altishofen;1123;LU;7.947701446;47.20280622;de;01.07.2008
Buchs LU;6211;1;Dagmersellen;1125;LU;8.036778644;47.20208375;de;01.07.2008
Winikon;6235;0;Dagmersellen;1125;LU;8.029019628;47.22988624;de;01.07.2008
Altishofen;6246;0;Dagmersellen;1125;LU;7.959098617;47.21421521;de;01.07.2008
Dagmersellen;6252;0;Dagmersellen;1125;LU;7.997871682;47.21458994;de;01.07.2008
Uffikon;6253;0;Dagmersellen;1125;LU;8.027097049;47.21597632;de;01.07.2008
Reidermoos;6260;2;Dagmersellen;1125;LU;8.011915398;47.23452044;de;01.07.2008
Egolzwil;6243;0;Egolzwil;1127;LU;8.000175149;47.17980594;de;01.07.2008
Nebikon;6244;0;Egolzwil;1127;LU;7.978435928;47.18480938;de;01.07.2008
Grosswangen;6022;0;Ettiswil;1128;LU;8.031770412;47.14353871;de;01.07.2008
Kottwil;6217;0;Ettiswil;1128;LU;8.041798197;47.16284271;de;01.07.2008
Ettiswil;6218;0;Ettiswil;1128;LU;8.017156816;47.14642515;de;01.07.2008
Alberswil;6248;0;Ettiswil;1128;LU;8.004083448;47.13738292;de;01.07.2008
Fischbach LU;6145;0;Fischbach;1129;LU;7.904235125;47.15294094;de;01.07.2008
Hüswil;6152;0;Fischbach;1129;LU;7.890748907;47.13124368;de;01.07.2008
Ufhusen;6153;0;Fischbach;1129;LU;7.8885057;47.12800661;de;01.07.2008
Fischbach LU;6145;0;Grossdietwil;1131;LU;7.887096887;47.15048093;de;01.07.2008
Grossdietwil;6146;0;Grossdietwil;1131;LU;7.89641486;47.16894066;de;01.07.2008
Altbüron;6147;0;Grossdietwil;1131;LU;7.904317141;47.19483419;de;01.07.2008
Ebersecken;6245;0;Grossdietwil;1131;LU;7.926401647;47.18773244;de;01.07.2008
Menzberg;6125;0;Hergiswil bei Willisau;1132;LU;7.98121976;47.04301034;de;01.07.2008
Willisau;6130;0;Hergiswil bei Willisau;1132;LU;7.977180177;47.08717175;de;01.07.2008
Rohrmatt;6132;0;Hergiswil bei Willisau;1132;LU;7.979021114;47.07523445;de;01.07.2008
Hergiswil b. Willisau;6133;0;Hergiswil bei Willisau;1132;LU;7.956029297;47.06158118;de;01.07.2008
Luthern;6156;0;Hergiswil bei Willisau;1132;LU;7.927876449;47.07775276;de;01.07.2008
Eriswil;4952;0;Luthern;1135;LU;7.87293614;47.04875179;de;01.07.2008
Ufhusen;6153;0;Luthern;1135;LU;7.904382007;47.09611181;de;01.07.2008
Hofstatt;6154;0;Luthern;1135;LU;7.900449662;47.07917069;de;01.07.2008
Luthern;6156;0;Luthern;1135;LU;7.902685452;47.05164754;de;01.07.2008
Luthern Bad;6156;2;Luthern;1135;LU;7.918003869;47.02819214;de;01.07.2008
Wolhusen;6110;0;Menznau;1136;LU;8.022938167;47.03100709;de;01.07.2008
Menznau;6122;0;Menznau;1136;LU;8.038564196;47.08185492;de;01.07.2008
Geiss;6123;0;Menznau;1136;LU;8.063472876;47.0911499;de;01.07.2008
Menzberg;6125;0;Menznau;1136;LU;7.999669427;47.03721553;de;01.07.2008
Willisau;6130;0;Menznau;1136;LU;8.030915301;47.10369828;de;01.07.2008
Nebikon;6244;0;Nebikon;1137;LU;7.987253891;47.19174817;de;01.07.2008
St. Urban;4915;0;Pfaffnau;1139;LU;7.85713297;47.21820289;de;01.07.2008
Altbüron;6147;0;Pfaffnau;1139;LU;7.862594312;47.20153048;de;01.07.2008
Pfaffnau;6264;0;Pfaffnau;1139;LU;7.900699112;47.22936158;de;01.07.2008
Roggliswil;6265;0;Pfaffnau;1139;LU;7.903982896;47.2036182;de;01.07.2008
Dagmersellen;6252;0;Reiden;1140;LU;7.972259211;47.23155138;de;01.07.2008
Reiden;6260;0;Reiden;1140;LU;7.976818118;47.24408851;de;01.07.2008
Reidermoos;6260;2;Reiden;1140;LU;7.994710008;47.24977374;de;01.07.2008
Hintermoos;6260;3;Reiden;1140;LU;8.01478364;47.25936034;de;01.07.2008
Mehlsecken;6260;4;Reiden;1140;LU;7.957265366;47.24451848;de;01.07.2008
Langnau b. Reiden;6262;0;Reiden;1140;LU;7.948166281;47.23022358;de;01.07.2008
Richenthal;6263;0;Reiden;1140;LU;7.933003352;47.21107041;de;01.07.2008
Roggliswil;6265;0;Roggliswil;1142;LU;7.883764894;47.2135039;de;01.07.2008
Ohmstal;6143;0;Schötz;1143;LU;7.954116389;47.15986006;de;01.07.2008
Schötz;6247;0;Schötz;1143;LU;7.987572035;47.16604703;de;01.07.2008
Eriswil;4952;0;Ufhusen;1145;LU;7.880937832;47.08619809;de;01.07.2008
Gondiswil;4955;0;Ufhusen;1145;LU;7.884986747;47.12800021;de;01.07.2008
Ufhusen;6153;0;Ufhusen;1145;LU;7.897803873;47.10777318;de;01.07.2008
Wauwil;6242;0;Wauwil;1146;LU;8.030820097;47.18428724;de;01.07.2008
Wikon;4806;0;Wikon;1147;LU;7.970505856;47.26549054;de;01.07.2008
Reidermoos;6260;2;Wikon;1147;LU;8.002414283;47.26188981;de;01.07.2008
Hintermoos;6260;3;Wikon;1147;LU;7.996165508;47.27083266;de;01.07.2008
Zell LU;6144;0;Zell (LU);1150;LU;7.926897645;47.13787317;de;01.07.2008
Hüswil;6152;0;Zell (LU);1150;LU;7.904943367;47.12902255;de;01.07.2008
Ufhusen;6153;0;Zell (LU);1150;LU;7.917866345;47.11102647;de;01.07.2008
Menznau;6122;0;Willisau;1151;LU;8.022505514;47.09361817;de;01.07.2008
Menzberg;6125;0;Willisau;1151;LU;7.991930691;47.05231871;de;01.07.2008
Daiwil;6126;0;Willisau;1151;LU;8.01091405;47.09825472;de;01.07.2008
Willisau;6130;0;Willisau;1151;LU;7.981224002;47.11423686;de;01.07.2008
Rohrmatt;6132;0;Willisau;1151;LU;7.984423171;47.07466131;de;01.07.2008
Hergiswil b. Willisau;6133;0;Willisau;1151;LU;7.948854853;47.09739478;de;01.07.2008
Gettnau;6142;0;Willisau;1151;LU;7.970336054;47.13834178;de;01.07.2008
Ohmstal;6143;0;Willisau;1151;LU;7.969945521;47.14837769;de;01.07.2008
Zell LU;6144;0;Willisau;1151;LU;7.927416168;47.1178291;de;01.07.2008
Hofstatt;6154;0;Willisau;1151;LU;7.927862018;47.10069344;de;01.07.2008
Luthern;6156;0;Willisau;1151;LU;7.928075589;47.08837402;de;01.07.2008
Alberswil;6248;0;Willisau;1151;LU;8.00291695;47.13661991;de;01.07.2008
Altdorf UR;6460;0;Altdorf (UR);1201;UR;8.641248018;46.88762069;de;01.07.2008
Andermatt;6490;0;Andermatt;1202;UR;8.614341782;46.61745811;de;01.07.2008
Engelberg;6390;0;Attinghausen;1203;UR;8.507928934;46.81204845;de;01.07.2008
Attinghausen;6468;0;Attinghausen;1203;UR;8.60603505;46.85676665;de;01.07.2008
Muotathal;6436;0;Bürglen (UR);1205;UR;8.750714789;46.91722023;de;01.07.2008
Bisisthal;6436;2;Bürglen (UR);1205;UR;8.810306502;46.92748979;de;01.07.2008
Altdorf UR;6460;0;Bürglen (UR);1205;UR;8.64425254;46.86917062;de;01.07.2008
Bürglen UR;6463;0;Bürglen (UR);1205;UR;8.685465525;46.89034952;de;01.07.2008
Spiringen;6464;0;Bürglen (UR);1205;UR;8.698240043;46.87120142;de;01.07.2008
Haldi b. Schattdorf;6469;0;Bürglen (UR);1205;UR;8.685285479;46.86063668;de;01.07.2008
Erstfeld;6472;0;Erstfeld;1206;UR;8.601007523;46.81271523;de;01.07.2008
Flüelen;6454;0;Flüelen;1207;UR;8.647313227;46.91889553;de;01.07.2008
Altdorf UR;6460;0;Flüelen;1207;UR;8.651527088;46.91055841;de;01.07.2008
Göschenen;6487;0;Göschenen;1208;UR;8.518231784;46.66757711;de;01.07.2008
Silenen;6473;0;Gurtnellen;1209;UR;8.654614189;46.79158596;de;01.07.2008
Amsteg;6474;0;Gurtnellen;1209;UR;8.653451831;46.77893626;de;01.07.2008
Intschi;6476;0;Gurtnellen;1209;UR;8.646099353;46.76764243;de;01.07.2008
Gurtnellen;6482;0;Gurtnellen;1209;UR;8.635502377;46.72803733;de;01.07.2008
Hospental;6493;0;Hospental;1210;UR;8.558583043;46.60920462;de;01.07.2008
Isenthal;6461;0;Isenthal;1211;UR;8.526452495;46.88327503;de;01.07.2008
Realp;6491;0;Realp;1212;UR;8.472518109;46.57690127;de;01.07.2008
Schattdorf;6467;0;Schattdorf;1213;UR;8.65377404;46.85696187;de;01.07.2008
Haldi b. Schattdorf;6469;0;Schattdorf;1213;UR;8.688554405;46.84766493;de;01.07.2008
Seedorf UR;6462;0;Seedorf (UR);1214;UR;8.588368662;46.88757704;de;01.07.2008
Bauen;6466;0;Seedorf (UR);1214;UR;8.576794399;46.93118559;de;01.07.2008
Seelisberg;6377;0;Seelisberg;1215;UR;8.569573064;46.97109847;de;01.07.2008
Rütli;6441;2;Seelisberg;1215;UR;8.592606305;46.96919595;de;01.07.2008
Erstfeld;6472;0;Silenen;1216;UR;8.678547728;46.81475693;de;01.07.2008
Silenen;6473;0;Silenen;1216;UR;8.691997277;46.80193458;de;01.07.2008
Amsteg;6474;0;Silenen;1216;UR;8.670558883;46.77333221;de;01.07.2008
Bristen;6475;0;Silenen;1216;UR;8.752042097;46.7714026;de;01.07.2008
Intschi;6476;0;Silenen;1216;UR;8.657601752;46.75833284;de;01.07.2008
Sisikon;6452;0;Sisikon;1217;UR;8.637443844;46.94200703;de;01.07.2008
Riemenstalden;6452;2;Sisikon;1217;UR;8.685992824;46.93835021;de;01.07.2008
Spiringen;6464;0;Spiringen;1218;UR;8.737487706;46.87356599;de;01.07.2008
Urnerboden;8751;0;Spiringen;1218;UR;8.908058541;46.88001142;de;01.07.2008
Bisisthal;6436;2;Unterschächen;1219;UR;8.821026502;46.90003784;de;01.07.2008
Unterschächen;6465;0;Unterschächen;1219;UR;8.782210162;46.85272677;de;01.07.2008
Wassen UR;6484;0;Wassen;1220;UR;8.599243862;46.70115974;de;01.07.2008
Meien;6485;0;Wassen;1220;UR;8.516412035;46.73149967;de;01.07.2008
Bennau;8836;0;Einsiedeln;1301;SZ;8.716792398;47.14960742;de;01.07.2008
Einsiedeln;8840;0;Einsiedeln;1301;SZ;8.736917651;47.13349859;de;01.07.2008
Trachslau;8840;2;Einsiedeln;1301;SZ;8.729887657;47.10134714;de;01.07.2008
Gross;8841;0;Einsiedeln;1301;SZ;8.762075954;47.09484847;de;01.07.2008
Euthal;8844;0;Einsiedeln;1301;SZ;8.842821669;47.09263696;de;01.07.2008
Willerzell;8846;0;Einsiedeln;1301;SZ;8.817029357;47.13203308;de;01.07.2008
Egg SZ;8847;0;Einsiedeln;1301;SZ;8.779056252;47.16214887;de;01.07.2008
Rigi Scheidegg;6410;5;Gersau;1311;SZ;8.519080032;47.02649753;de;01.07.2008
Gersau;6442;0;Gersau;1311;SZ;8.53286347;47.00731481;de;01.07.2008
Wollerau;8832;0;Feusisberg;1321;SZ;8.712784557;47.18609168;de;01.07.2008
Schindellegi;8834;0;Feusisberg;1321;SZ;8.705886177;47.17423854;de;01.07.2008
Feusisberg;8835;0;Feusisberg;1321;SZ;8.758298525;47.17938484;de;01.07.2008
Bennau;8836;0;Feusisberg;1321;SZ;8.711516679;47.15668154;de;01.07.2008
Egg SZ;8847;0;Feusisberg;1321;SZ;8.756304196;47.1729544;de;01.07.2008
Hurden;8640;3;Freienbach;1322;SZ;8.797425242;47.21328517;de;01.07.2008
Bäch SZ;8806;0;Freienbach;1322;SZ;8.738257599;47.20388683;de;01.07.2008
Freienbach;8807;0;Freienbach;1322;SZ;8.754883267;47.20187584;de;01.07.2008
Pfäffikon SZ;8808;0;Freienbach;1322;SZ;8.783796951;47.19068391;de;01.07.2008
Wollerau;8832;0;Freienbach;1322;SZ;8.752362626;47.19588911;de;01.07.2008
Wilen b. Wollerau;8832;2;Freienbach;1322;SZ;8.734696875;47.19498036;de;01.07.2008
Bäch SZ;8806;0;Wollerau;1323;SZ;8.71765003;47.20061392;de;01.07.2008
Wollerau;8832;0;Wollerau;1323;SZ;8.707307166;47.1898246;de;01.07.2008
Samstagern;8833;0;Wollerau;1323;SZ;8.689213596;47.18896553;de;01.07.2008
Schindellegi;8834;0;Wollerau;1323;SZ;8.692604824;47.17507244;de;01.07.2008
Merlischachen;6402;0;Küssnacht (SZ);1331;SZ;8.406012929;47.07052673;de;01.07.2008
Küssnacht am Rigi;6403;0;Küssnacht (SZ);1331;SZ;8.44748198;47.08448961;de;01.07.2008
Immensee;6405;0;Küssnacht (SZ);1331;SZ;8.468332359;47.10564847;de;01.07.2008
Willerzell;8846;0;Altendorf;1341;SZ;8.824980519;47.14948545;de;01.07.2008
Altendorf;8852;0;Altendorf;1341;SZ;8.825465645;47.17256689;de;01.07.2008
Lachen SZ;8853;0;Galgenen;1342;SZ;8.86210929;47.18538116;de;01.07.2008
Siebnen;8854;0;Galgenen;1342;SZ;8.884598041;47.15319276;de;01.07.2008
Galgenen;8854;2;Galgenen;1342;SZ;8.868909367;47.17008383;de;01.07.2008
Innerthal;8858;0;Innerthal;1343;SZ;8.920695214;47.05508131;de;01.07.2008
Lachen SZ;8853;0;Lachen;1344;SZ;8.858091119;47.19313083;de;01.07.2008
Reichenburg;8864;0;Reichenburg;1345;SZ;8.975637046;47.15944225;de;01.07.2008
Siebnen;8854;0;Schübelbach;1346;SZ;8.921659972;47.14859493;de;01.07.2008
Wangen SZ;8855;0;Schübelbach;1346;SZ;8.910991593;47.18402565;de;01.07.2008
Schübelbach;8862;0;Schübelbach;1346;SZ;8.928841186;47.17337449;de;01.07.2008
Buttikon SZ;8863;0;Schübelbach;1346;SZ;8.946700915;47.16890688;de;01.07.2008
Uznach;8730;0;Tuggen;1347;SZ;8.968888136;47.21375848;de;01.07.2008
Wangen SZ;8855;0;Tuggen;1347;SZ;8.91210791;47.19158712;de;01.07.2008
Tuggen;8856;0;Tuggen;1347;SZ;8.939422497;47.20046758;de;01.07.2008
Vorderthal;8857;0;Vorderthal;1348;SZ;8.89469176;47.12555664;de;01.07.2008
Lachen SZ;8853;0;Wangen (SZ);1349;SZ;8.862444675;47.20235432;de;01.07.2008
Siebnen;8854;0;Wangen (SZ);1349;SZ;8.894941942;47.18095331;de;01.07.2008
Wangen SZ;8855;0;Wangen (SZ);1349;SZ;8.893056041;47.19562325;de;01.07.2008
Alpthal;8849;0;Alpthal;1361;SZ;8.715417839;47.05635408;de;01.07.2008
Walchwil;6318;0;Arth;1362;SZ;8.523389525;47.08987461;de;01.07.2008
Rigi Kaltbad;6356;0;Arth;1362;SZ;8.502824578;47.03424553;de;01.07.2008
Goldau;6410;0;Arth;1362;SZ;8.540632509;47.04762426;de;01.07.2008
Rigi Klösterli;6410;2;Arth;1362;SZ;8.49656137;47.04322536;de;01.07.2008
Rigi Staffel;6410;3;Arth;1362;SZ;8.476540568;47.04996664;de;01.07.2008
Rigi Kulm;6410;4;Arth;1362;SZ;8.489295412;47.05735207;de;01.07.2008
Oberarth;6414;0;Arth;1362;SZ;8.537546068;47.05566621;de;01.07.2008
Arth;6415;0;Arth;1362;SZ;8.546223512;47.07355836;de;01.07.2008
Steinerberg;6416;0;Arth;1362;SZ;8.566565448;47.0673695;de;01.07.2008
Illgau;6434;0;Illgau;1363;SZ;8.735711952;46.99739606;de;01.07.2008
Seewen SZ;6423;0;Ingenbohl;1364;SZ;8.60359426;47.01611629;de;01.07.2008
Brunnen;6440;0;Ingenbohl;1364;SZ;8.615433516;46.99439439;de;01.07.2008
Lauerz;6424;0;Lauerz;1365;SZ;8.578882992;47.02645602;de;01.07.2008
Stoos SZ;6433;0;Morschach;1366;SZ;8.663793614;46.9698057;de;01.07.2008
Brunnen;6440;0;Morschach;1366;SZ;8.611550404;46.97672333;de;01.07.2008
Morschach;6443;0;Morschach;1366;SZ;8.629722078;46.98362914;de;01.07.2008
Sisikon;6452;0;Morschach;1366;SZ;8.627719201;46.95537282;de;01.07.2008
Stoos SZ;6433;0;Muotathal;1367;SZ;8.695067665;46.98189681;de;01.07.2008
Muotathal;6436;0;Muotathal;1367;SZ;8.763885683;46.96041331;de;01.07.2008
Bisisthal;6436;2;Muotathal;1367;SZ;8.877981792;46.92995831;de;01.07.2008
Ried (Muotathal);6436;3;Muotathal;1367;SZ;8.707053095;46.98132457;de;01.07.2008
Klöntal;8750;3;Muotathal;1367;SZ;8.89793723;47.01668179;de;01.07.2008
Unteriberg;8842;0;Oberiberg;1368;SZ;8.824058576;47.01462527;de;01.07.2008
Oberiberg;8843;0;Oberiberg;1368;SZ;8.764215566;47.03376528;de;01.07.2008
Riemenstalden;6452;2;Riemenstalden;1369;SZ;8.706247346;46.93942816;de;01.07.2008
Rothenthurm;6418;0;Rothenthurm;1370;SZ;8.677200674;47.09705126;de;01.07.2008
Morgarten;6315;3;Sattel;1371;SZ;8.650216874;47.09962156;de;01.07.2008
Sattel;6417;0;Sattel;1371;SZ;8.627492951;47.08129747;de;01.07.2008
Rothenthurm;6418;0;Sattel;1371;SZ;8.652591805;47.0956853;de;01.07.2008
Steinen;6422;0;Sattel;1371;SZ;8.611931732;47.06761266;de;01.07.2008
Sattel;6417;0;Schwyz;1372;SZ;8.662566616;47.06151573;de;01.07.2008
Seewen SZ;6423;0;Schwyz;1372;SZ;8.634102396;47.03577469;de;01.07.2008
Schwyz;6430;0;Schwyz;1372;SZ;8.666313867;47.02824063;de;01.07.2008
Rickenbach b. Schwyz;6432;0;Schwyz;1372;SZ;8.696644421;47.01040695;de;01.07.2008
Ibach;6438;0;Schwyz;1372;SZ;8.647297584;47.0017708;de;01.07.2008
Unteriberg;8842;0;Schwyz;1372;SZ;8.772441385;47.0026627;de;01.07.2008
Oberiberg;8843;0;Schwyz;1372;SZ;8.742362651;47.01721674;de;01.07.2008
Steinen;6422;0;Steinen;1373;SZ;8.610028371;47.05225588;de;01.07.2008
Steinerberg;6416;0;Steinerberg;1374;SZ;8.580146472;47.06495583;de;01.07.2008
Unteriberg;8842;0;Unteriberg;1375;SZ;8.799880219;47.05679494;de;01.07.2008
Euthal;8844;0;Unteriberg;1375;SZ;8.850342513;47.07236208;de;01.07.2008
Studen SZ;8845;0;Unteriberg;1375;SZ;8.856182908;47.03577081;de;01.07.2008
Pilatus Kulm;6010;2;Alpnach;1401;OW;8.255540114;46.97928908;de;01.07.2008
Alpnachstad;6053;0;Alpnach;1401;OW;8.287919995;46.96582863;de;01.07.2008
Alpnach Dorf;6055;0;Alpnach;1401;OW;8.210992692;46.95036107;de;01.07.2008
Kerns;6064;0;Alpnach;1401;OW;8.280829088;46.92651274;de;01.07.2008
Grafenort;6388;0;Engelberg;1402;OW;8.37122886;46.86216262;de;01.07.2008
Engelberg;6390;0;Engelberg;1402;OW;8.43352541;46.81660811;de;01.07.2008
Giswil;6074;0;Giswil;1403;OW;8.120645959;46.83639344;de;01.07.2008
Sörenberg;6174;0;Giswil;1403;OW;8.064772626;46.8002903;de;01.07.2008
Kerns;6064;0;Kerns;1404;OW;8.302257639;46.90647011;de;01.07.2008
St. Niklausen OW;6066;0;Kerns;1404;OW;8.301305558;46.87316375;de;01.07.2008
Melchtal;6067;0;Kerns;1404;OW;8.298229094;46.82500966;de;01.07.2008
Melchsee-Frutt;6068;0;Kerns;1404;OW;8.296508344;46.78243963;de;01.07.2008
Lungern;6078;0;Lungern;1405;OW;8.19111135;46.78681953;de;01.07.2008
Bürglen OW;6078;2;Lungern;1405;OW;8.159070657;46.81160204;de;01.07.2008
Melchtal;6067;0;Sachseln;1406;OW;8.286260827;46.83838215;de;01.07.2008
Sachseln;6072;0;Sachseln;1406;OW;8.244751409;46.82266381;de;01.07.2008
Flüeli-Ranft;6073;0;Sachseln;1406;OW;8.259063451;46.87525543;de;01.07.2008
Giswil;6074;0;Sachseln;1406;OW;8.195295841;46.84541438;de;01.07.2008
Kägiswil;6056;0;Sarnen;1407;OW;8.247753281;46.91692211;de;01.07.2008
Sarnen;6060;0;Sarnen;1407;OW;8.250527244;46.90128547;de;01.07.2008
Ramersberg;6060;2;Sarnen;1407;OW;8.221090273;46.90436026;de;01.07.2008
Wilen (Sarnen);6062;0;Sarnen;1407;OW;8.209209088;46.8734515;de;01.07.2008
Stalden (Sarnen);6063;0;Sarnen;1407;OW;8.163063023;46.89949413;de;01.07.2008
Beckenried;6375;0;Beckenried;1501;NW;8.477159607;46.92764563;de;01.07.2008
Emmetten;6376;0;Beckenried;1501;NW;8.484188858;46.95266855;de;01.07.2008
Buochs;6374;0;Buochs;1502;NW;8.417380752;46.96372095;de;01.07.2008
Dallenwil;6383;0;Dallenwil;1503;NW;8.383363099;46.92282889;de;01.07.2008
Wiesenberg;6383;3;Dallenwil;1503;NW;8.358854152;46.92328933;de;01.07.2008
Wirzweli;6383;4;Dallenwil;1503;NW;8.36678579;46.91081084;de;01.07.2008
Emmetten;6376;0;Emmetten;1504;NW;8.521066147;46.9432181;de;01.07.2008
Seelisberg;6377;0;Emmetten;1504;NW;8.558723804;46.97360568;de;01.07.2008
Obbürgen;6363;0;Ennetbürgen;1505;NW;8.390916764;46.99261748;de;01.07.2008
Bürgenstock;6363;2;Ennetbürgen;1505;NW;8.396595759;46.99575242;de;01.07.2008
Ennetbürgen;6373;0;Ennetbürgen;1505;NW;8.403921759;46.98754944;de;01.07.2008
Buochs;6374;0;Ennetbürgen;1505;NW;8.415662627;46.9794412;de;01.07.2008
Stansstad;6362;0;Ennetmoos;1506;NW;8.330051099;46.96506766;de;01.07.2008
Stans;6370;0;Ennetmoos;1506;NW;8.342716167;46.96152957;de;01.07.2008
Ennetmoos;6372;0;Ennetmoos;1506;NW;8.318536258;46.94305577;de;01.07.2008
Kriens;6010;0;Hergiswil (NW);1507;NW;8.252522357;46.99041754;de;01.07.2008
Eigenthal;6013;0;Hergiswil (NW);1507;NW;8.223931627;46.98481745;de;01.07.2008
Hergiswil NW;6052;0;Hergiswil (NW);1507;NW;8.278786406;46.98605755;de;01.07.2008
Stans;6370;0;Oberdorf (NW);1508;NW;8.374686674;46.9572889;de;01.07.2008
Oberdorf NW;6370;41;Oberdorf (NW);1508;NW;8.389308628;46.95147108;de;01.07.2008
Buochs;6374;0;Oberdorf (NW);1508;NW;8.405645146;46.95619867;de;01.07.2008
Büren NW;6382;0;Oberdorf (NW);1508;NW;8.411483862;46.94113763;de;01.07.2008
Niederrickenbach;6383;2;Oberdorf (NW);1508;NW;8.436007666;46.93170574;de;01.07.2008
Stansstad;6362;0;Stans;1509;NW;8.342467623;46.96767221;de;01.07.2008
Stans;6370;0;Stans;1509;NW;8.364881458;46.95580466;de;01.07.2008
Ennetmoos;6372;0;Stans;1509;NW;8.348632485;46.95650222;de;01.07.2008
Ennetbürgen;6373;0;Stans;1509;NW;8.387455785;46.97665683;de;01.07.2008
Stansstad;6362;0;Stansstad;1510;NW;8.341307037;46.97344857;de;01.07.2008
Obbürgen;6363;0;Stansstad;1510;NW;8.37025178;46.98483171;de;01.07.2008
Fürigen;6363;1;Stansstad;1510;NW;8.351005739;46.98220524;de;01.07.2008
Bürgenstock;6363;2;Stansstad;1510;NW;8.374677588;46.99589194;de;01.07.2008
Kehrsiten;6365;0;Stansstad;1510;NW;8.366159096;46.99465621;de;01.07.2008
Dallenwil;6383;0;Wolfenschiessen;1511;NW;8.395347172;46.93008851;de;01.07.2008
Niederrickenbach;6383;2;Wolfenschiessen;1511;NW;8.439387721;46.91893177;de;01.07.2008
Wolfenschiessen;6386;0;Wolfenschiessen;1511;NW;8.379087173;46.89576815;de;01.07.2008
Oberrickenbach;6387;0;Wolfenschiessen;1511;NW;8.439861177;46.87798279;de;01.07.2008
Grafenort;6388;0;Wolfenschiessen;1511;NW;8.348622317;46.86011483;de;01.07.2008
Engelberg;6390;0;Wolfenschiessen;1511;NW;8.361527842;46.80887517;de;01.07.2008
Näfels;8752;0;Glarus Nord;1630;GL;9.010832726;47.08208344;de;01.07.2008
Mollis;8753;0;Glarus Nord;1630;GL;9.09166367;47.09578208;de;01.07.2008
Netstal;8754;0;Glarus Nord;1630;GL;9.066618875;47.06972354;de;01.07.2008
Filzbach;8757;0;Glarus Nord;1630;GL;9.119638183;47.10897715;de;01.07.2008
Obstalden;8758;0;Glarus Nord;1630;GL;9.155289505;47.07211699;de;01.07.2008
Bilten;8865;0;Glarus Nord;1630;GL;9.009276749;47.1522961;de;01.07.2008
Ziegelbrücke;8866;0;Glarus Nord;1630;GL;9.056305483;47.13559997;de;01.07.2008
Niederurnen;8867;0;Glarus Nord;1630;GL;9.015106262;47.12910784;de;01.07.2008
Oberurnen;8868;0;Glarus Nord;1630;GL;9.033933977;47.11519586;de;01.07.2008
Weesen;8872;0;Glarus Nord;1630;GL;9.094577602;47.12595374;de;01.07.2008
Mühlehorn;8874;0;Glarus Nord;1630;GL;9.166955954;47.10259465;de;01.07.2008
Glarus;8750;0;Glarus Süd;1631;GL;9.075480028;47.02831857;de;01.07.2008
Ennenda;8755;0;Glarus Süd;1631;GL;9.077759256;47.0288147;de;01.07.2008
Mitlödi;8756;0;Glarus Süd;1631;GL;9.090588299;47.01463257;de;01.07.2008
Schwanden GL;8762;0;Glarus Süd;1631;GL;9.0996451;46.96720526;de;01.07.2008
Schwändi b. Schwanden;8762;2;Glarus Süd;1631;GL;9.057423829;47.01268446;de;01.07.2008
Sool;8762;3;Glarus Süd;1631;GL;9.116889931;47.0090313;de;01.07.2008
Engi;8765;0;Glarus Süd;1631;GL;9.170457005;46.99852885;de;01.07.2008
Matt;8766;0;Glarus Süd;1631;GL;9.185332425;46.95904422;de;01.07.2008
Elm;8767;0;Glarus Süd;1631;GL;9.147173995;46.90346007;de;01.07.2008
